scenario,which_arm_restricted,num_agents,p,inertia,sim_id,agent_id,was_correct,time_to_lock
baseline,N/A,9,0.6,5,32,6,True,1
baseline,N/A,9,0.6,5,32,7,True,1
baseline,N/A,9,0.6,5,32,8,True,1
baseline,N/A,9,0.6,5,33,0,True,1
baseline,N/A,9,0.6,5,33,1,True,1
baseline,N/A,9,0.6,5,33,2,True,1
baseline,N/A,9,0.6,5,33,3,True,1
baseline,N/A,9,0.6,5,33,4,True,1
baseline,N/A,9,0.6,5,33,5,True,1
baseline,N/A,9,0.6,5,33,6,True,1
baseline,N/A,9,0.6,5,33,7,True,1
baseline,N/A,9,0.6,5,33,8,True,1
baseline,N/A,9,0.6,5,34,0,True,3
baseline,N/A,9,0.6,5,34,1,True,3
baseline,N/A,9,0.6,5,34,2,True,3
baseline,N/A,9,0.6,5,34,3,True,3
baseline,N/A,9,0.6,5,34,4,True,3
baseline,N/A,9,0.6,5,34,5,True,3
baseline,N/A,9,0.6,5,34,6,True,3
baseline,N/A,9,0.6,5,34,7,True,3
baseline,N/A,9,0.6,5,34,8,True,3
baseline,N/A,9,0.6,5,35,0,False,1
baseline,N/A,9,0.6,5,35,1,False,1
baseline,N/A,9,0.6,5,35,2,False,1
baseline,N/A,9,0.6,5,35,3,False,1
baseline,N/A,9,0.6,5,35,4,False,1
baseline,N/A,9,0.6,5,35,5,False,1
baseline,N/A,9,0.6,5,35,6,False,1
baseline,N/A,9,0.6,5,35,7,False,1
baseline,N/A,9,0.6,5,35,8,False,1
baseline,N/A,9,0.6,5,36,0,True,5
baseline,N/A,9,0.6,5,36,1,True,5
baseline,N/A,9,0.6,5,36,2,True,5
baseline,N/A,9,0.6,5,36,3,True,5
baseline,N/A,9,0.6,5,36,4,True,5
baseline,N/A,9,0.6,5,36,5,True,5
baseline,N/A,9,0.6,5,36,6,True,5
baseline,N/A,9,0.6,5,36,7,True,5
baseline,N/A,9,0.6,5,36,8,True,5
baseline,N/A,9,0.6,5,37,0,True,5
baseline,N/A,9,0.6,5,37,1,True,5
baseline,N/A,9,0.6,5,37,2,True,5
baseline,N/A,9,0.6,5,37,3,True,5
baseline,N/A,9,0.6,5,37,4,True,5
baseline,N/A,9,0.6,5,37,5,True,5
baseline,N/A,9,0.6,5,37,6,True,5
baseline,N/A,9,0.6,5,37,7,True,5
baseline,N/A,9,0.6,5,37,8,True,5
baseline,N/A,9,0.6,5,38,0,True,61
baseline,N/A,9,0.6,5,38,1,True,61
baseline,N/A,9,0.6,5,38,2,True,61
baseline,N/A,9,0.6,5,38,3,True,61
baseline,N/A,9,0.6,5,38,4,True,61
baseline,N/A,9,0.6,5,38,5,True,61
baseline,N/A,9,0.6,5,38,6,True,61
baseline,N/A,9,0.6,5,38,7,True,61
baseline,N/A,9,0.6,5,38,8,True,61
baseline,N/A,9,0.6,5,39,0,False,1
baseline,N/A,9,0.6,5,39,1,False,3
baseline,N/A,9,0.6,5,39,2,False,1
baseline,N/A,9,0.6,5,39,3,False,3
baseline,N/A,9,0.6,5,39,4,False,1
baseline,N/A,9,0.6,5,39,5,False,1
baseline,N/A,9,0.6,5,39,6,False,3
baseline,N/A,9,0.6,5,39,7,False,3
baseline,N/A,9,0.6,5,39,8,False,1
baseline,N/A,9,0.6,5,40,0,True,6
baseline,N/A,9,0.6,5,40,1,True,6
baseline,N/A,9,0.6,5,40,2,True,6
baseline,N/A,9,0.6,5,40,3,True,6
baseline,N/A,9,0.6,5,40,4,True,6
