scenario,which_arm_restricted,num_agents,p,epsilon,sim_id,agent_id,was_correct,time_to_lock
restrict_dissemination,other,9,0.6,0.1,735,7,True,19
restrict_dissemination,other,9,0.6,0.1,735,8,True,18
restrict_dissemination,target,9,0.6,0.1,736,0,True,4
restrict_dissemination,target,9,0.6,0.1,736,1,True,61
restrict_dissemination,target,9,0.6,0.1,736,2,True,3
restrict_dissemination,target,9,0.6,0.1,736,3,False,27
restrict_dissemination,target,9,0.6,0.1,736,4,True,3
restrict_dissemination,target,9,0.6,0.1,736,5,True,22
restrict_dissemination,target,9,0.6,0.1,736,6,True,15
restrict_dissemination,target,9,0.6,0.1,736,7,True,65
restrict_dissemination,target,9,0.6,0.1,736,8,False,1
restrict_dissemination,target,9,0.6,0.1,737,0,True,23
restrict_dissemination,target,9,0.6,0.1,737,1,True,75
restrict_dissemination,target,9,0.6,0.1,737,2,False,92
restrict_dissemination,target,9,0.6,0.1,737,3,True,73
restrict_dissemination,target,9,0.6,0.1,737,4,True,22
restrict_dissemination,target,9,0.6,0.1,737,5,True,35
restrict_dissemination,target,9,0.6,0.1,737,6,False,92
restrict_dissemination,target,9,0.6,0.1,737,7,False,99
restrict_dissemination,target,9,0.6,0.1,737,8,False,74
restrict_dissemination,target,9,0.6,0.1,738,0,True,1
restrict_dissemination,target,9,0.6,0.1,738,1,False,82
restrict_dissemination,target,9,0.6,0.1,738,2,True,3
restrict_dissemination,target,9,0.6,0.1,738,3,True,1
restrict_dissemination,target,9,0.6,0.1,738,4,True,3
restrict_dissemination,target,9,0.6,0.1,738,5,True,15
restrict_dissemination,target,9,0.6,0.1,738,6,True,67
restrict_dissemination,target,9,0.6,0.1,738,7,True,65
restrict_dissemination,target,9,0.6,0.1,738,8,True,83
restrict_dissemination,other,9,0.6,0.1,739,0,True,32
restrict_dissemination,other,9,0.6,0.1,739,1,True,17
restrict_dissemination,other,9,0.6,0.1,739,2,True,38
restrict_dissemination,other,9,0.6,0.1,739,3,True,4
restrict_dissemination,other,9,0.6,0.1,739,4,True,8
restrict_dissemination,other,9,0.6,0.1,739,5,False,1
restrict_dissemination,other,9,0.6,0.1,739,6,True,30
restrict_dissemination,other,9,0.6,0.1,739,7,True,27
restrict_dissemination,other,9,0.6,0.1,739,8,True,64
restrict_dissemination,other,9,0.6,0.1,740,0,True,1
restrict_dissemination,other,9,0.6,0.1,740,1,True,1
restrict_dissemination,other,9,0.6,0.1,740,2,True,40
restrict_dissemination,other,9,0.6,0.1,740,3,False,101
restrict_dissemination,other,9,0.6,0.1,740,4,True,9
restrict_dissemination,other,9,0.6,0.1,740,5,True,89
restrict_dissemination,other,9,0.6,0.1,740,6,True,1
restrict_dissemination,other,9,0.6,0.1,740,7,True,15
restrict_dissemination,other,9,0.6,0.1,740,8,True,1
restrict_dissemination,target,9,0.6,0.1,741,0,True,12
restrict_dissemination,target,9,0.6,0.1,741,1,False,13
restrict_dissemination,target,9,0.6,0.1,741,2,False,63
restrict_dissemination,target,9,0.6,0.1,741,3,True,12
restrict_dissemination,target,9,0.6,0.1,741,4,True,9
restrict_dissemination,target,9,0.6,0.1,741,5,False,14
restrict_dissemination,target,9,0.6,0.1,741,6,True,9
restrict_dissemination,target,9,0.6,0.1,741,7,True,43
restrict_dissemination,target,9,0.6,0.1,741,8,True,99
restrict_dissemination,target,9,0.6,0.1,742,0,True,1
restrict_dissemination,target,9,0.6,0.1,742,1,True,1
restrict_dissemination,target,9,0.6,0.1,742,2,True,1
restrict_dissemination,target,9,0.6,0.1,742,3,True,1
restrict_dissemination,target,9,0.6,0.1,742,4,True,26
restrict_dissemination,target,9,0.6,0.1,742,5,True,1
restrict_dissemination,target,9,0.6,0.1,742,6,True,29
restrict_dissemination,target,9,0.6,0.1,742,7,True,1
restrict_dissemination,target,9,0.6,0.1,742,8,False,95
restrict_dissemination,other,9,0.6,0.1,743,0,True,1
restrict_dissemination,other,9,0.6,0.1,743,1,True,10
restrict_dissemination,other,9,0.6,0.1,743,2,True,62
restrict_dissemination,other,9,0.6,0.1,743,3,True,1
restrict_dissemination,other,9,0.6,0.1,743,4,True,1
