network_structure,ps[0],ps[1],num_agents,epsilon,n_steps,n_runs,success_convergence_rate,individuals_converged,total_successful_pulls
complete,0.5,0.5001,10,0.1,3000,1000,0.673,6.73,15001725.51
complete,0.5,0.5001,10,0.1,3010,1000,0.674,6.74,15051726.095
complete,0.5,0.5001,10,0.1,3020,1000,0.673,6.73,15101731.199
complete,0.5,0.5001,10,0.1,3030,1000,0.665,6.65,15151738.874
complete,0.5,0.5001,10,0.1,3040,1000,0.67,6.7,15201740.759
complete,0.5,0.5001,10,0.1,3050,1000,0.67,6.7,15251751.522
complete,0.5,0.5001,10,0.1,3060,1000,0.665,6.65,15301752.33
complete,0.5,0.5001,10,0.1,3070,1000,0.669,6.69,15351750.726
complete,0.5,0.5001,10,0.1,3080,1000,0.67,6.7,15401760.491
complete,0.5,0.5001,10,0.1,3090,1000,0.671,6.71,15451763.955
complete,0.5,0.5001,10,0.1,3100,1000,0.667,6.67,15501772.586
complete,0.5,0.5001,10,0.1,3110,1000,0.672,6.72,15551777.499
complete,0.5,0.5001,10,0.1,3120,1000,0.668,6.68,15601799.089
complete,0.5,0.5001,10,0.1,3130,1000,0.663,6.63,15651808.301
complete,0.5,0.5001,10,0.1,3140,1000,0.668,6.68,15701819.451
complete,0.5,0.5001,10,0.1,3150,1000,0.665,6.65,15751820.713
complete,0.5,0.5001,10,0.1,3160,1000,0.667,6.67,15801826.383
complete,0.5,0.5001,10,0.1,3170,1000,0.666,6.66,15851836.475
complete,0.5,0.5001,10,0.1,3180,1000,0.669,6.69,15901839.009
complete,0.5,0.5001,10,0.1,3190,1000,0.667,6.67,15951840.548
complete,0.5,0.5001,10,0.1,3200,1000,0.666,6.66,16001843.882
complete,0.5,0.5001,10,0.1,3210,1000,0.666,6.66,16051845.572
complete,0.5,0.5001,10,0.1,3220,1000,0.673,6.73,16101851.885
complete,0.5,0.5001,10,0.1,3230,1000,0.671,6.71,16151854.536
complete,0.5,0.5001,10,0.1,3240,1000,0.674,6.74,16201866.735
complete,0.5,0.5001,10,0.1,3250,1000,0.671,6.71,16251869.009
complete,0.5,0.5001,10,0.1,3260,1000,0.674,6.74,16301876.216
complete,0.5,0.5001,10,0.1,3270,1000,0.675,6.75,16351889.396
complete,0.5,0.5001,10,0.1,3280,1000,0.672,6.72,16401892.642
complete,0.5,0.5001,10,0.1,3290,1000,0.672,6.72,16451902.456
complete,0.5,0.5001,10,0.1,3300,1000,0.671,6.71,16501910.334
complete,0.5,0.5001,10,0.1,3310,1000,0.673,6.73,16551911.311
complete,0.5,0.5001,10,0.1,3320,1000,0.673,6.73,16601909.339
